roomID,roomType,Amenities,isAdaAccessible,standardOccupancy,maximumOccupancy,basePrice,extraPerson
201,Double,"Microwave, Jacuzzi",FALSE,2,4,199.99,10.00
202,Double,Refrigerator,TRUE,2,4,174.99,10.00
203,Double,"Microwave, Jacuzzi",FALSE,2,4,199.99,10.00
204,Double,Refrigerator,TRUE,2,4,174.99,10.00
205,Single,"Microwave, Refrigerator, Jacuzzi",FALSE,2,2,174.99,NULL
206,Single,"Microwave, Refrigerator",TRUE,2,2,149.99,NULL
207,Single,"Microwave, Refrigerator, Jacuzzi",FALSE,2,2,174.99,NULL
208,Single,"Microwave, Refrigerator",TRUE,2,2,149.99,NULL
301,Double,"Microwave, Jacuzzi",FALSE,2,4,199.99,10.00
302,Double,Refrigerator,TRUE,2,4,174.99,10.00
303,Double,"Microwave, Jacuzzi",FALSE,2,4,199.99,10.00
304,Double,Refrigerator,TRUE,2,4,174.99,10.00
305,Single,"Microwave, Refrigerator, Jacuzzi",FALSE,2,2,174.99,NULL
306,Single,"Microwave, Refrigerator,",TRUE,2,2,149.99,NULL
307,Single,"Microwave, Refrigerator, Jacuzzi",FALSE,2,2,174.99,NULL
308,Single,"Microwave, Refrigerator",TRUE,2,2,149.99,NULL
401,Suite,"Microwave, Refrigerator, Oven",TRUE,3,8,399.99,20.00
402,Suite,"Microwave, Refrigerator, Oven",TRUE,3,8,399.99,20.00
